italian,english
e,is
non,not
che,that
di,of
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I'm
ho,I have
l',L'
si,Yes
ha,has
ma,but
lo,the
cosa,thing
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,as
io,I
ci,us
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,only
mio,my
al,to the
me,myself
tutto,all
c',c '
te,you
era,era
della,of the
mia,my
fatto,done
fare,to do
essere,to be
so,I know
quando,when
sì,Yup
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,say
ok,ok
va,it goes
perche,why
quello,one
mai,never
alla,a
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of
grazie,thank you
chi,who
sta,It is
molto,very
più,more
voglio,I want
perché,Why
tuo,your
beh,Well
sia,be
nel,in
lui,he
allora,then
posso,I can
piu,more
ehi,Hey
prima,before
tua,your
suo,his
niente,anything
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,so
davvero,really
ancora,yet
hanno,have
stai,are you
fa,does
sua,her
così,so
casa,home
uno,one
dove,where is it
su,up
vero,true
vuoi,do you want
noi,we
due,two
quindi,therefore
dire,to say
d',d '
delle,of the
quella,that
sempre,always
altro,other
sto,I'm
andare,to go
ad,to
po,little
loro,their
devo,I must
quel,that
forse,perhaps
li,there
proprio,own
certo,of course
tempo,time
nella,in
poi,then
vi,you
credo,I think
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,here we go
dell',dell '
parte,part
visto,seen
qualcuno,someone
all',all '
lavoro,work
voi,you
ciao,Hi
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',cos'
fai,do
signore,lord
meglio,better
cazzo,dick
dai,come on
dal,from
vuole,wants
sembra,it seems
giorno,day
ogni,every
modo,way
senza,without
vedere,to see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,here
parlare,speak
tra,between
mamma,mom
già,already
sarebbe,would be
dalla,from
troppo,too much
fosse,it were
possiamo,We can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on
giusto,quite right
sa,know
miei,my
aspetta,wait up
avere,to have
altra,other
farlo,to do it
alle,to
facendo,doing
abbia,has
momento,moment
ero,I was
aveva,had
ragazzi,boys
deve,needs to
persone,people
nostro,our
tipo,guy
prego,You are welcome
grande,great
può,can he
senti,feeling
appena,as soon as
potrebbe,could
soldi,money
dice,He says
sapere,know
tre,three
oggi,today
questi,these
piace,like it
idea,idea
siete,you are
ai,to
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,sure
vieni,Come
degli,from
guarda,look
dentro,inside
trovato,found it
queste,these
caso,case
forza,power
dov',Where '
tutte,all
pensi,think
signora,Mrs
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can he
aver,having
mondo,world
tutta,all
preso,taken
nulla,nothing
nostra,our
donna,woman
stare,to stay
basta,that's enough
insieme,together
faccia,face
ragazza,girl
subito,immediately
famiglia,family
ragazzo,boy
volevo,I wanted
okay,okay
sentito,heard
ah,ha
stesso,same
ragione,reason
sarà,Sara
tuoi,your
capito,I got it
notte,night
volte,times
testa,head
